DEPARTAMENTO,MES,Numero Eventos Reportados,SISTEMAS AFECTADOS,SEXO FEMENINO,SEXO MASCULINO,SEXO SIN ESPECIFICAR,CASOS NO SERIOS,CASOS SERIOS,EVENTO CLASIFICADO COMO FALLO TERAPEUTICO (FT),EVENTO CLASIFICADO COMO REACCION ADVERSA A MEDICAMENTO (RAM),EVENTO CLASIFICADO COMO PROBLEMA DE CALIDAD (PC),EVENTO CLASIFICADO COMO ERROR DE MEDICACIÓN (EM),EVENTO CLASIFICADO COMO EVENTO SUPUESTAMENTE ATRIBUIBLE A LA VACUNACIÓN (ESAVI)
TOLIMA,ABRIL DE 2020,139,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,78,61,0,115,24,1,127,2,9,0
VALLE DEL CAUCA,ABRIL DE 2020,3376,NEOPLASMASTRASTORNOS AUDITIVOS Y VESTIBULARESTRASTORNOS CARDIOVASCULARES GENERALESTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA REPRODUCCION MUJERESTRASTORNOS DE LA REPRODUCCION VARONESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,2591,778,7,2653,723,52,3190,10,124,0
VICHADA,ABRIL DE 2020,1,TRASTORNOS DE LA PIEL Y APENDICES,1,0,0,1,0,0,1,0,0,0
AMAZONAS,MAYO DE 2020,2,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS GENERALES DE TODO EL ORGANISMO,2,0,0,0,2,0,2,0,0,0
CAUCA,JULIO DE 2021,149,TRASTORNOS CARDIOVASCULARES  GENERALES;TRASTORNOS DE LA PIEL Y APENDICES;TRASTORNOS DE LA VISION;TRASTORNOS DE LAS PLAQUETAS  HEMORRAGIAS Y COAGULACION;;TRASTORNOS DE LOS ERITROCITOS;TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE;TRASTORNOS DEL COLAGENO;TRASTORNOS DEL MECANISMO DE RESISTENCIA;TRASTORNOS DEL METABOLISMO Y NUTRICION;TRASTORNOS DEL SISTEMA GASTROINTESTINAL;TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR;TRASTORNOS DEL SISTEMA MUSCULO-ESQUELETAL;TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;TRASTORNOS DEL SISTEMA RESPIRATORIO;TRASTORNOS DEL SISTEMA URINARIO;TRASTORNOS EN EL PUNTO DE APLICACION;TRASTORNOS ENDOCRINOS;TRASTORNOS GENERALES DE TODO EL ORGANISMO;TRASTORNOS PSIQUIATRICOS;TRASTORNOS VASCULARES  EXTRACARDIACOS ;VOCABLOS SECUNDARIOS  EVENTOS,83,63,3,101,48,0,141,0,4,4
ANTIOQUIA,MAYO DE 2020,2065,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,1229,831,5,1759,306,62,1909,3,86,5
ARAUCA,MAYO DE 2020,47,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS GENERALES DE TODO EL ORGANISMO VOCABLOS SECUNDARIOS EVENTOS,22,25,0,47,0,3,8,0,36,0
ATLÁNTICO,MAYO DE 2020,345,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,182,162,1,287,58,1,332,2,10,0
BOGOTÁ D C,MAYO DE 2020,2773,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,1517,1149,107,2088,685,24,2598,12,135,4
BOLÍVAR,MAYO DE 2020,238,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,118,120,0,164,74,0,230,0,8,0
BOYACÁ,MAYO DE 2020,75,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,51,24,0,62,13,2,66,2,5,0
CALDAS,MAYO DE 2020,172,TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,95,77,0,147,25,0,135,0,37,0
CAQUETÁ,MAYO DE 2020,30,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS VASCULARES EXTRACARDIACOS,17,13,0,24,6,0,30,0,0,0
CASANARE,MAYO DE 2020,27,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS,19,8,0,23,4,14,13,0,0,0
CHOCÓ,SEPTIEMBRE DE 2021,2,TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO;VOCABLOS SECUNDARIOS  EVENTOS,0,2,0,1,1,0,2,0,0,0
CAUCA,MAYO DE 2020,108,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,62,45,1,98,10,1,103,0,4,0
CESAR,MAYO DE 2020,81,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,54,27,0,50,31,0,78,0,3,0
CHOCÓ,MAYO DE 2020,14,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS,8,6,0,12,2,2,12,0,0,0
CÓRDOBA,MAYO DE 2020,99,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE OTROS SENTIDOS ESPECIALES TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS NEONATALES Y EN LA PRIMERA INFANCIA TRASTORNOS PSIQUIATRICOS VOCABLOS ESPECIFICOS A VENENOS VOCABLOS SECUNDARIOS EVENTOS,43,56,0,81,18,5,78,1,15,0
CUNDINAMARCA,MAYO DE 2020,200,NEOPLASMASTRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOSTRASTORNOS DE LA PIEL Y APENDICESTRASTORNOS DE LA VISIONTRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACIONTRASTORNOS DE LOS ERITROCITOSTRASTORNOS DE LOS LEUCOCITOS Y DE LA VSETRASTORNOS DEL COLAGENOTRASTORNOS DEL MECANISMO DE RESISTENCIATRASTORNOS DEL METABOLISMO Y NUTRICIONTRASTORNOS DEL SISTEMA GASTROINTESTINALTRASTORNOS DEL SISTEMA HEPATICO Y BILIARTRASTORNOS DEL SISTEMA MUSCULO ESQUELETALTRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICOTRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVOTRASTORNOS DEL SISTEMA RESPIRATORIOTRASTORNOS DEL SISTEMA URINARIOTRASTORNOS EN EL PUNTO DE APLICACIONTRASTORNOS ENDOCRINOSTRASTORNOS GENERALES DE TODO EL ORGANISMOTRASTORNOS MIO ENDO PERICARDICOS Y VALVULARESTRASTORNOS PSIQUIATRICOSTRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS ESPECIFICOS A VENENOSVOCABLOS SECUNDARIOS EVENTOS,104,96,0,150,50,3,178,1,18,0
HUILA,MAYO DE 2020,144,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,99,45,0,129,15,3,135,0,6,0
LA GUAJIRA,MAYO DE 2020,11,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,4,7,0,9,2,0,10,1,0,0
MAGDALENA,MAYO DE 2020,72,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,44,28,0,60,12,0,71,0,1,0
META,MAYO DE 2020,76,TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,37,39,0,62,14,3,0,67,6,0
NARIÑO,MAYO DE 2020,149,NEOPLASMAS TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,89,58,2,124,25,7,113,2,27,0
NORTE DE SANTANDER,MAYO DE 2020,96,TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS VOCABLOS SECUNDARIOS EVENTOS,60,36,0,80,16,0,76,1,19,0
PUTUMAYO,MAYO DE 2020,1,TRASTORNOS EN EL PUNTO DE APLICACION,1,0,0,1,0,0,1,0,0,0
QUINDIO,MAYO DE 2020,65,TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,32,33,0,50,15,0,60,1,4,0
RISARALDA,MAYO DE 2020,176,NEOPLASMAS TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DEL COLAGENO TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS FETALES TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,115,61,0,161,15,2,127,9,38,0
SANTANDER,MAYO DE 2020,359,NEOPLASMAS TRASTORNOS AUDITIVOS Y VESTIBULARES TRASTORNOS CARDIOVASCULARES GENERALES TRASTORNOS DE LA FRECUENCIA Y RITMO CARDIACOS TRASTORNOS DE LA PIEL Y APENDICES TRASTORNOS DE LA REPRODUCCION MUJERES TRASTORNOS DE LA REPRODUCCION VARONES TRASTORNOS DE LA VISION TRASTORNOS DE LAS PLAQUETAS HEMORRAGIAS Y COAGULACION TRASTORNOS DE LOS ERITROCITOS TRASTORNOS DE LOS LEUCOCITOS Y DE LA VSE TRASTORNOS DEL MECANISMO DE RESISTENCIA TRASTORNOS DEL METABOLISMO Y NUTRICION TRASTORNOS DEL SISTEMA GASTROINTESTINAL TRASTORNOS DEL SISTEMA HEPATICO Y BILIAR TRASTORNOS DEL SISTEMA MUSCULO ESQUELETAL TRASTORNOS DEL SISTEMA NERVIOSO CENTRAL Y PERIFERICO TRASTORNOS DEL SISTEMA NERVIOSO VEGETATIVO TRASTORNOS DEL SISTEMA RESPIRATORIO TRASTORNOS DEL SISTEMA URINARIO TRASTORNOS EN EL PUNTO DE APLICACION TRASTORNOS ENDOCRINOS TRASTORNOS GENERALES DE TODO EL ORGANISMO TRASTORNOS MIO ENDO PERICARDICOS Y VALVULARES TRASTORNOS PSIQUIATRICOS TRASTORNOS VASCULARES EXTRACARDIACOS VOCABLOS SECUNDARIOS EVENTOS,213,146,0,285,74,4,326,0,29,0
